Sep 27 07:48:59 raspberrypi jgrivera: [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 5.10.60-v7l+ #1449 SMP Wed Aug 25 15:00:44 BST 2021 armv7l GNU/Linux
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 40 @ 670890s, 93ms, 671722ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 41 @ 670890s, 113ms, 669924ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 9 @ 670890s, 113ms, 765979ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 42 @ 670890s, 133ms, 675607ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 43 @ 670890s, 153ms, 677994ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 44 @ 670890s, 173ms, 666493ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 45 @ 670890s, 193ms, 672417ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 46 @ 670890s, 213ms, 674248ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 10 @ 670890s, 213ms, 766951ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 7 @ 670890s, 214ms, 227782ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 47 @ 670890s, 233ms, 678635ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 48 @ 670890s, 253ms, 676708ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 49 @ 670890s, 273ms, 673280ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 50 @ 670890s, 293ms, 673186ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 51 @ 670890s, 313ms, 670425ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 11 @ 670890s, 313ms, 765165ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 52 @ 670890s, 333ms, 672979ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 53 @ 670890s, 353ms, 674218ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 8 @ 670890s, 364ms, 226204ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 54 @ 670890s, 373ms, 666827ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 55 @ 670890s, 393ms, 668196ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 56 @ 670890s, 413ms, 679027ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 12 @ 670890s, 413ms, 761749ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 57 @ 670890s, 433ms, 676007ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 58 @ 670890s, 453ms, 672561ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 59 @ 670890s, 473ms, 671596ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 60 @ 670890s, 493ms, 670965ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 61 @ 670890s, 513ms, 670056ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 13 @ 670890s, 513ms, 765314ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 9 @ 670890s, 514ms, 221330ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 62 @ 670890s, 533ms, 671276ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 63 @ 670890s, 553ms, 669515ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 64 @ 670890s, 573ms, 666254ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 65 @ 670890s, 593ms, 678882ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 66 @ 670890s, 613ms, 673399ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S2 10 Hz on core 1 for release 14 @ 670890s, 613ms, 764991ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 67 @ 670890s, 633ms, 671656ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 68 @ 670890s, 653ms, 669840ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S3 6.66 Hz on core 1 for release 10 @ 670890s, 664ms, 229530ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 69 @ 670890s, 673ms, 672208ns
Sep 27 07:49:00 raspberrypi [COURSE:1][ASSIGNMENT:4]: S1 50 Hz on core 1 for release 70 @ 670890s, 693ms, 667040ns
